id,motions,code,fit_fairy,skin
1,"101,102,103,104,105,106",fortress,14,40
2,"101,102,103,104,105,106",fortress,14,41
3,"101,102,103,104,105,106",fortress,14,42
4,"107,108,109,110",shield,4,10
5,"107,108,109,110",shield,4,11
6,"107,108,109,110",shield,4,12
7,"111,112,113,114,115,116",armor,3,7
8,"111,112,113,114,115,116",armor,3,8
9,"111,112,113,114,115,116",armor,3,9
10,"117,118,119,120,121,122",command,15,43
11,"117,118,119,120,121,122",command,15,44
12,"117,118,119,120,121,122",command,15,45
13,"123,124,125,126,127,128",golden,18,52
14,"123,124,125,126,127,128",golden,18,53
15,"123,124,125,126,127,128",golden,18,54
16,"129,130,131,132,133,134",target,6,16
17,"129,130,131,132,133,134",target,6,17
18,"129,130,131,132,133,134",target,6,18
19,"135,136,137,138,139,140",airborne,11,31
20,"135,136,137,138,139,140",airborne,11,32
21,"135,136,137,138,139,140",airborne,11,33
22,"141,142,143,144,145,146",air_attack,9,25
23,"141,142,143,144,145,146",air_attack,9,26
24,"141,142,143,144,145,146",air_attack,9,27
25,"147,148,149,150,151,152",fighting,1,1
26,"147,148,149,150,151,152",fighting,1,2
27,"147,148,149,150,151,152",fighting,1,3
